State,Effective R 2/15,Effective R 3/9,R change,Change sign,Change is positive,R >= 1 on 2/15,R >=1  on 3/9,,Results,
Alabama,0.75,0.94,0.19,1,1,0,0,,Change in R is positive for 41 out of 55 states (includes territories),
Alaska,1,0.97,-0.03,-1,0,1,0,,Average change  = ,0.056727273
Arizona,0.72,1.1,0.38,1,1,0,1,,N states with R > 1 on 5/15,5
Arkansas,0.82,0.89,0.07,1,1,0,0,,N states with R > 1 on 3/9,11
California,0.83,0.89,0.06,1,1,0,0,,,
Colorado,1,0.94,-0.06,-1,0,1,0,,,
Connecticut,0.86,0.93,0.07,1,1,0,0,,,
Delaware,0.94,0.93,-0.01,-1,0,0,0,,,
District of Columbia,0.86,1,0.14,1,1,0,1,,,
Florida,0.91,0.95,0.04,1,1,0,0,,,
Georgia,0.83,0.88,0.05,1,1,0,0,,,
Guam,0.92,0.78,-0.14,-1,0,0,0,,,
Hawaii,0.83,1.1,0.27,1,1,0,1,,,
Idaho,0.89,0.94,0.05,1,1,0,0,,,
Illinois,0.87,0.99,0.12,1,1,0,0,,,
Indiana,0.81,1,0.19,1,1,0,1,,,
Iowa,0.92,0.94,0.02,1,1,0,0,,,
Kansas,0.91,0.9,-0.01,-1,0,0,0,,,
Kentucky,0.85,0.88,0.03,1,1,0,0,,,
Louisiana,0.84,0.86,0.02,1,1,0,0,,,
Maine,0.77,1.2,0.43,1,1,0,1,,,
Maryland,0.9,1,0.1,1,1,0,1,,,
Massachusetts,0.84,0.98,0.14,1,1,0,0,,,
Michigan,0.9,1,0.1,1,1,0,1,,,
Minnesota,1,0.99,-0.01,-1,0,1,0,,,
Mississippi,0.83,0.92,0.09,1,1,0,0,,,
Missouri,0.82,0.94,0.12,1,1,0,0,,,
Montana,0.91,0.91,0,0,0,0,0,,,
Nebraska,1.2,0.97,-0.23,-1,0,1,0,,,
Nevada,0.86,0.99,0.13,1,1,0,0,,,
New Hampshire,0.92,0.88,-0.04,-1,0,0,0,,,
New Jersey,0.97,1,0.03,1,1,0,1,,,
New Mexico,0.97,0.92,-0.05,-1,0,0,0,,,
New York,0.97,1,0.03,1,1,0,1,,,
North Carolina,0.9,0.89,-0.01,-1,0,0,0,,,
North Dakota,0.94,0.98,0.04,1,1,0,0,,,
Northern Mariana Islands,0.93,0.98,0.05,1,1,0,0,,,
Ohio,0.87,0.89,0.02,1,1,0,0,,,
Oklahoma,0.84,0.92,0.08,1,1,0,0,,,
Oregon,0.87,0.88,0.01,1,1,0,0,,,
Pennsylvania,0.9,0.98,0.08,1,1,0,0,,,
Puerto Rico,0.88,0.96,0.08,1,1,0,0,,,
Rhode Island,0.86,0.99,0.13,1,1,0,0,,,
South Carolina,0.92,0.81,-0.11,-1,0,0,0,,,
South Dakota,1.1,1.1,0,0,0,1,1,,,
Tennessee,0.93,0.95,0.02,1,1,0,0,,,
Texas,0.88,0.92,0.04,1,1,0,0,,,
Utah,0.89,0.9,0.01,1,1,0,0,,,
Vermont,0.93,1,0.07,1,1,0,1,,,
Virgin Islands,0.95,0.97,0.02,1,1,0,0,,,
Virginia,0.91,0.89,-0.02,-1,0,0,0,,,
Washington,0.86,0.91,0.05,1,1,0,0,,,
West Virginia,0.83,0.93,0.1,1,1,0,0,,,
Wisconsin,0.88,0.94,0.06,1,1,0,0,,,
Wyoming,0.81,0.92,0.11,1,1,0,0,,,
